group,year,arxiv,journal,table,parameter,ordering,convention,kind,value_as_published,value_our_convention,unit,level,s1_lo_as_published,s1_hi_as_published,s3_lo_as_published,s3_hi_as_published,s1_lo_our_convention,s1_hi_our_convention,s3_lo_our_convention,s3_hi_our_convention,interval_method
bari,2025,2503.07752,"Phys. Rev. D 111, 093006 (2025)",Table I,sin2_th12,any,Dm2 = m3^2 - (m1^2 + m2^2)/2,measurement,3.03,3.03,1e-1,,2.91,3.17,2.64,3.45,2.91,3.17,2.64,3.45,identical
bari,2025,2503.07752,"Phys. Rev. D 111, 093006 (2025)",Table I,Dm2,no,Dm2 = m3^2 - (m1^2 + m2^2)/2,measurement,2.495,2.495,1e-3 eV²,,2.475,2.515,2.433,2.558,2.475,2.515,2.433,2.558,identical
bari,2025,2503.07752,"Phys. Rev. D 111, 093006 (2025)",Table I,Dm2,io,Dm2 = m3^2 - (m1^2 + m2^2)/2,measurement,2.465,2.465,1e-3 eV²,,2.444,2.485,2.403,2.527,2.444,2.485,2.403,2.527,identical
bari,2025,2503.07752,"Phys. Rev. D 111, 093006 (2025)",Table I,sin2_th13,no,Dm2 = m3^2 - (m1^2 + m2^2)/2,measurement,2.23,2.23,1e-2,,2.17,2.27,2.06,2.38,2.17,2.27,2.06,2.38,identical
bari,2025,2503.07752,"Phys. Rev. D 111, 093006 (2025)",Table I,sin2_th13,io,Dm2 = m3^2 - (m1^2 + m2^2)/2,measurement,2.23,2.23,1e-2,,2.19,2.3,2.08,2.41,2.19,2.3,2.08,2.41,identical
bari,2025,2503.07752,"Phys. Rev. D 111, 093006 (2025)",Table I,sin2_th23,no,Dm2 = m3^2 - (m1^2 + m2^2)/2,measurement,4.73,4.73,1e-1,,4.6,4.96,4.37,5.81,4.6,4.96,4.37,5.81,identical
bari,2025,2503.07752,"Phys. Rev. D 111, 093006 (2025)",Table I,sin2_th23,io,Dm2 = m3^2 - (m1^2 + m2^2)/2,measurement,5.45,5.45,1e-1,,5.28,5.6,4.43,5.83,5.28,5.6,4.43,5.83,identical
bari,2025,2503.07752,"Phys. Rev. D 111, 093006 (2025)",Table I,delta_pi,no,Dm2 = m3^2 - (m1^2 + m2^2)/2,measurement,1.2,1.2,1,,1.07,1.37,0.73,2.03,1.07,1.37,0.73,2.03,identical
bari,2025,2503.07752,"Phys. Rev. D 111, 093006 (2025)",Table I,delta_pi,io,Dm2 = m3^2 - (m1^2 + m2^2)/2,measurement,1.48,1.48,1,,1.36,1.61,1.12,1.83,1.36,1.61,1.12,1.83,identical
bari,2026,2511.21650,"Phys. Rev. D 114, 016026 (2026)","Table I, row “w/ SNO+ & JUNO 2025”",dm2,any,Dm2 = m3^2 - (m1^2 + m2^2)/2,measurement,7.48,7.48,1e-5 eV²,,7.39,7.58,7.21,7.78,7.39,7.58,7.21,7.78,identical
bari,2026,2511.21650,"Phys. Rev. D 114, 016026 (2026)","Table I, row “w/ SNO+ & JUNO 2025”",sin2_th12,any,Dm2 = m3^2 - (m1^2 + m2^2)/2,measurement,3.085,3.085,1e-1,,3.01,3.156,2.866,3.303,3.01,3.156,2.866,3.303,identical
